Date,Open,High,Low,Close,Adj Close,Volume,LOG_ADJ_CLOSE,zScore,mean,stdev,LB,UB,UpperEntryZscore,LowerEntryZscore,long_entry,long_exit,num_units_long,short_entry,short_exit,num_units_short,stance,pct_rets,syst_rets,syst_cum_rets,market_cum_rets,Det_Adj_Close,Det_pct_rets,Det_syst_rets
2022-02-24,152.5800018310547,162.85000610351562,152.0,162.74000549316406,161.76010131835938,141147500,5.086114381621862,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,,,1.0,,28.04765925621131,,
2022-02-25,163.83999633789062,165.1199951171875,160.8699951171875,164.85000610351562,163.85740661621094,91974200,5.09899657776193,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.012965529081388648,0.0,1.0,1.0129655290813886,30.231320315379087,0.07785537606615751,0.0
2022-02-28,163.05999755859375,165.4199981689453,162.42999267578125,165.1199951171875,164.12576293945312,95056600,5.100632981138908,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.001637743015613175,0.0,1.0,1.0146245063016985,30.58603239993746,0.01173326473531244,0.0
2022-03-01,164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,162.21734619140625,83474400,5.088937079190212,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.011627770764733019,-0.0,1.0,1.002826685130142,28.763971413206797,-0.059571668626571775,-0.0
2022-03-02,164.38999938964844,167.36000061035156,162.9499969482422,166.55999755859375,165.55709838867188,79724800,5.109316140686069,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.020588132377193053,0.0,1.0,1.023473013674983,32.190079371788634,0.11911108898574284,0.0
2022-03-03,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,165.22909545898438,76678400,5.107332968212185,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.0019812072866695236,-0.0,1.0,1.0214453014825806,31.94843220341732,-0.007506883272338089,-0.0
2022-03-04,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,162.18751525878906,83737200,5.088753167441369,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.0184082603112134,-0.0,1.0,1.0026422704792233,28.99320776453822,-0.0924998265975317,-0.0
2022-03-07,163.36000061035156,165.02000427246094,159.0399932861328,159.3000030517578,158.3408203125,96418800,5.064749800432786,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.023717577398921323,-0.0,1.0,0.9788620248257021,25.23286857956537,-0.12969724548975725,-0.0
2022-03-08,158.82000732421875,162.8800048828125,155.8000030517578,157.44000244140625,156.4920196533203,131148300,5.053005016049498,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.011676083624746363,-0.0,1.0,0.9674327499667486,23.470423681701895,-0.06984718730278554,-0.0
2022-03-09,161.47999572753906,163.41000366210938,159.41000366210938,162.9499969482422,161.96884155273438,91454900,5.087403980639193,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.03499745170103222,0.0,1.0,1.0012904309077066,29.033601342432142,0.2370292814555126,0.0
2022-03-10,160.1999969482422,160.38999938964844,155.97999572753906,158.52000427246094,157.56552124023438,105342000,5.059841379632907,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.027186218474411647,-0.0,1.0,0.974069130496712,24.716636791248355,-0.14868856606068406,-0.0
2022-03-11,158.92999267578125,159.27999877929688,154.5,154.72999572753906,153.79833984375,96970100,5.035642262759384,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.02390866584790902,-0.0,1.0,0.9507804371429027,21.035811156080193,-0.14892097441313154,-0.0
2022-03-14,151.4499969482422,154.1199951171875,150.10000610351562,150.6199951171875,149.7130889892578,108732100,5.008720722401365,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.026562385905092085,-0.0,1.0,0.9255254402605008,17.03691606290419,-0.1900994006603906,-0.0
